tw;puntuacion
OMS advierte que aumento del uso de antibioticos para combatir la COVID 19 causara mas muertes n Hay un preocupante numero de infecciones bacterianas que se estan haciendo cada vez mas resistentes a los remedios tradicionalmente utilizados para combatirla DrTedros de la OMS;0
En teoria las personas presas tienen el mismo derecho a la salud que la poblacion general pero la realidad es muy diferente;0
Asambleista Como pudo el pais tener al frente a alguien que no acredita ningun conocimiento academico para una pandemia de la magnitud del covid 19 Por que el Gobierno no la gestiono con profesionales acreditados nY acaso todos los asambleistas son PHD;0
angelitaav Positivo para covid 19;0
Que determino un estudio sobre un vuelo con 9 neozelandeses infectados de AH1N1 y que medidas se deben aplicar en los vuelos en tiempos de COVID 19;0
Estados Unidos sigue en protesta aunque su presidente los envia a toque de queda ellos siguen en pie de lucha y no permitiran que esto simplemente sea una manifestacion mas El tema que preocupa es las consecuencias en el tema de contagio de covid 19 que esto pueda acarrear;0
Salud En la man ana de este lunes fallecio el cuarto miembro de una misma familia de Malambo Atlantico a causa del Covid 19 n n Lea la nota completa aqui;0
La vaina esta tan jodida que hasta a la casa blanca le quitaron la luz por falta de pago n n Covid 19;0
Malambo presenta 271 Casos de Covid 19 de los cuales 216 son activos 79 7 desde la primera semana de mayo todos los casos reportados son CasosEnEstudio Gravisimo;0
Ecuador Ministro de Salud dice que Quito vive pico de atenciones por covid 19 no de contagios Y la demanda de atenciones por que son El Comercio;0
Soacha presenta 337 Casos de Covid 19 de los cuales 245 son activos 72 7 desde la ultima semana de mayo todos los casos reportados son CasosEnEstudio Grave;0
En Colombia mucha gente no cree en el COVID 19 pero vaya y digales que se estan metiendo al conjunto del lado a robar y vera;0
Buenaventura presenta 519 Casos de Covid 19 de los cuales 449 son activos 86 5 desde la ultima semana de mayo todos los casos reportados son CasosEnEstudio Grave;0
Tumaco presenta 779 Casos de Covid 19 de los cuales 688 son activos 88 3 desde la ultima semana de mayo todos los casos reportados son CasosEnEstudio Grave;0
Internacional La OMS advirtio que America Latina esta lejos de alcanzar el pico de contagio por Covid 19 n nAmplie la informacion aqui;0
Soledad presenta 1 318 Casos de Covid 19 de los cuales 1 009 son activos 76 5 desde la ultima semana de mayo todos los casos reportados son CasosEnEstudio Grave;0
Covid 19 no es un arma disen ada contra los humanos es un arma disen ada contra la economia en medio de una guerra economica;0
El conocimiento duele pero mas duele el tener los ojos vendados y las manos atadas sin poder hacer nada al respecto Anonymuos Covid 19;0
velezfutbol RevistaSemana Entonces no hacemos nada Salga a la calle y compruebe que el COVID 19 no lo mata Es la infeccion mas desconcertante que hay Que ignorante O pongase a Fumar para que entre entre los 8 millones;0
La capacidad de hospitales en la capital esta al limite y asi quieren que empecemos a salir el miercoles en Quito Ojala que no desborde todo Covid 19;0
Una pregunta todos esos imbeciles que salen a destruir las ciudades en USA estan inmunes al Covid 19 porque a la estupidez estoy seguro que si estan inmunes;0
PalomaValenciaL AndresPastrana Ya son amigos Cuando podemos leer su Twitter sobre los alcaldes corruptos del CeDemocratico en compras de ayudas Covid 19;0
En Barcelona SC hay un caso positivo por Covid 19;0
jeffersongut7 Que le dio perro Covid 19;0
Ahora que hay protestas en contra del racismo solo dire COVID 19 haz lo tuyo;0
En Peru la policia y serenazgo le roba sus productos y maltrata a la gente que trabaja todos los dias para llevar algo que comer a su familia Los productos decomisados nunca los devuelven La policia debe cuidar a los ciudadanos no atentar contra ellos Covid 19 PoliceBrutality;0
PartisanoNegro Camacho17L Yo pienso como Profesional de la SALUD y creo que el caos Sanitario que se presentara despues de 20 dias se pudo Prevenir n nUSA tiene cerca de 2millones de Contagios por Covid 19 y logro acostar la curva de Contagios hace 15 dias nTodo ese esfuerzo se perdio y entraran en Crisis;0
Los medicos de Nicaragua exigen una cuarentena nacional ante colapso del sistema de salud provocado por la covid 19 a traves de el pais;0
De acuerdo al reporte de hoy 1 de junio del INSColombia sobre el Covid 19 en Colombia DesdeLosDatos miremos municipios pequen os con mas de 200 Casos con la grafica de CasosEnEstudio vs CasosRelacionados;0
New post in AEVStereo Agencia EFE EFE las claves de por que el COVID 19 en Venezuela se ceba con los mas jovenes n nContrario a las estadisticas mundiales el 71 7 de los contagiados por COVID 19 en Venezuela tienen entre 0 y 39 an os con 1 046 perso;0
Dia 1 de semaforo amarillo en Riobamba comprobado que la gente estaba en verde hace bastante rato Covid 19;0
36 personas en una residencia de adultos mayores de Ecuador estan infectadas de covid 19 El Comercio;0
compaiRENE Puede existir una salida social a traves de la indignacion en las calles al darse cuenta que no los mata el Covid 19 sino las politicas economicas y sociales de un gobierno que no le interesan los ciudadanos y los pobres n PalabraSueltaxKolectiVOZ;0
Alguien que me explique que significa En Quito no hay pico de contagios de Covid 19 hay pico de demanda de camas Y la demanda de camas es para Asentar el chuchaqui acaso;0
Veo con asombro como comparten videos del caos en USA como respuesta al homicidio de un Ciudadano Afroamericano n han pensado en el Repunte de los Contagios y Muertes por Covid 19 nEn 20 dias Colapsaria la red Hospitalaria y las Morgues nEsto podria costar mas de 20mil vidas;0
compaiRENE Lenin Moreno no gobierna son los grupos economicos los que gobiernan y ponen las leyes que son mecanismos de explotacion y despojo de la riqueza humana y social para generar una acumulacion sin precedentes mayor a la de 1999 n PalabraSueltaxKolectiVOZ n Covid 19;0
HastaMismas camilin86 DavilaAurelio SebasDecker Si tuvieras un apice de inteligencia pensarias por un segundo En tu equipo hay 8 PERSONAS CON EL COVID 19 Sabes cuales son las disposiciones en esos casos;0
La audiencia en el caso del derrame de petroleo del 7 de abril de fue cancelada hoy Lina Maria Espinosa coordinadora juridica de Amazon Frontlines dijo que los funcionarios judiciales eran sospechosos de estar contagiados de covid 19 n n;0
Escandalo Barcelona habria escondido casos de coronavirus en 5 de sus figuras;0
tubarconews depacali AlcaldiaDeCali A mi mama le diagnosticaron dengue y ahora salio positivo para covid 19 entonces al fin que tiene;0
Historica marcha feminista n Aparece el covid 19 n Temperatura record en la Antartida;0
La madre es la unica sobreviviente de esta familia de cinco integrantes que fue duramente golpeada por el coronavirus;0
